Order ID,Order Date,Ship Date,DateKey,CustomerKey,ProductKey,GeoKey,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode
ORD-100058,2022-07-30,2022-08-04,20220730,531,15,9,235.66,66.35,3,0.05,19.15,Credit Card
ORD-100059,2024-07-22,2024-07-26,20240722,445,27,37,197.85,44.15,3,0.0,15.19,Credit Card
ORD-100060,2022-05-14,2022-05-17,20220514,405,28,40,23.22,4.31,2,0.0,12.91,Credit Card
ORD-100061,2024-01-28,2024-01-30,20240128,371,25,33,211.24,68.07,6,0.0,22.8,Online
ORD-100062,2024-03-13,2024-03-19,20240313,786,18,9,330.44,86.7,3,0.05,16.64,Online
ORD-100063,2022-03-29,2022-04-02,20220329,333,9,14,2799.81,487.61,2,0.0,46.72,Credit Card
ORD-100064,2024-10-03,2024-10-08,20241003,674,32,6,73.02,19.04,2,0.15,16.53,Online
ORD-100065,2023-10-28,2023-10-30,20231028,585,26,4,25.87,4.88,2,0.0,16.35,Credit Card
ORD-100066,2024-10-20,2024-10-24,20241020,18,23,38,5.39,-1.07,1,0.15,9.83,Online
ORD-100067,2022-02-03,2022-02-09,20220203,328,23,3,10.09,-1.19,2,0.2,15.5,Cash
ORD-100068,2023-12-11,2023-12-14,20231211,651,18,21,115.4,28.08,1,0.05,12.08,Debit Card
ORD-100069,2023-01-27,2023-02-01,20230127,817,7,27,891.1,303.32,2,0.0,24.47,Online
ORD-100070,2024-10-07,2024-10-10,20241007,466,9,20,3643.29,-315.17,4,0.25,44.73,Credit Card
ORD-100071,2024-08-15,2024-08-18,20240815,191,24,30,9.64,0.24,1,0.1,10.32,Credit Card
ORD-100072,2024-09-12,2024-09-16,20240912,165,7,21,937.39,318.95,2,0.0,26.1,Online
ORD-100073,2024-08-20,2024-08-22,20240820,245,1,25,248.33,63.4,1,0.0,17.51,Credit Card
ORD-100074,2022-10-07,2022-10-12,20221007,621,3,19,1691.54,-141.47,2,0.3,39.66,Credit Card
ORD-100075,2023-09-07,2023-09-13,20230907,172,23,30,11.54,0.2,2,0.0,15.92,Credit Card
ORD-100076,2022-04-07,2022-04-13,20220407,689,15,33,230.81,65.06,3,0.05,18.54,Debit Card
ORD-100077,2023-03-14,2023-03-20,20230314,404,26,11,46.76,11.89,4,0.0,20.81,Credit Card
ORD-100078,2022-05-01,2022-05-05,20220501,656,29,16,665.96,136.28,1,0.05,29.23,Debit Card
ORD-100079,2022-09-12,2022-09-14,20220912,803,11,1,234.92,80.05,5,0.0,26.35,Debit Card
ORD-100080,2024-07-29,2024-07-30,20240729,433,23,28,5.24,-2.23,1,0.05,13.57,Credit Card
ORD-100081,2024-12-19,2024-12-23,20241219,719,12,36,422.56,77.05,1,0.0,21.32,Credit Card
ORD-100082,2023-04-05,2023-04-09,20230405,273,28,8,72.12,16.89,6,0.1,21.8,Cash
ORD-100083,2023-08-28,2023-08-30,20230828,797,4,5,173.28,43.64,1,0.05,13.95,Online
ORD-100084,2024-06-30,2024-07-07,20240630,846,32,11,35.96,9.73,1,0.05,11.24,Credit Card
ORD-100085,2023-01-25,2023-01-31,20230125,538,8,11,456.07,84.57,4,0.15,18.97,Cash
ORD-100086,2023-05-27,2023-05-30,20230527,80,15,30,74.34,18.15,1,0.1,9.73,Debit Card
ORD-100087,2022-08-19,2022-08-25,20220819,427,9,24,2078.52,237.45,2,0.15,34.2,Cash
ORD-100088,2024-10-03,2024-10-05,20241003,579,21,1,27.63,5.72,2,0.0,15.24,Online
ORD-100089,2022-11-20,2022-11-25,20221120,241,31,23,885.85,179.54,3,0.0,18.54,Credit Card
ORD-100090,2024-12-14,2024-12-17,20241214,41,30,17,867.9,245.35,3,0.0,18.12,Credit Card
ORD-100091,2023-10-18,2023-10-19,20231018,140,20,19,6.89,0.07,1,0.0,9.24,Online
ORD-100092,2024-01-02,2024-01-05,20240102,730,31,3,1166.67,120.23,5,0.25,23.16,Credit Card
ORD-100093,2023-03-27,2023-04-02,20230327,229,27,3,126.6,22.53,2,0.1,11.59,Cash
ORD-100094,2023-11-20,2023-11-24,20231120,273,30,24,274.48,67.76,1,0.05,18.13,Credit Card
ORD-100095,2023-04-14,2023-04-21,20230414,120,26,34,22.46,3.46,2,0.05,15.13,Online
ORD-100096,2023-04-06,2023-04-09,20230406,786,28,40,11.08,0.79,1,0.05,9.13,Online
ORD-100097,2022-09-09,2022-09-12,20220909,466,4,36,385.43,109.78,2,0.0,16.72,UPI
ORD-100098,2024-05-26,2024-05-31,20240526,535,23,2,29.64,6.0,6,0.15,20.11,Credit Card
ORD-100099,2024-04-08,2024-04-11,20240408,620,13,25,336.02,82.37,5,0.2,23.88,Cash
ORD-100100,2022-10-05,2022-10-07,20221005,35,17,2,648.43,132.85,5,0.15,28.01,Online
ORD-100101,2024-02-21,2024-02-24,20240221,594,19,26,18.98,3.33,2,0.0,14.89,Credit Card
ORD-100102,2023-04-07,2023-04-11,20230407,34,20,3,26.03,5.8,4,0.0,19.12,Online
ORD-100103,2023-05-02,2023-05-03,20230502,436,28,36,30.81,5.3,3,0.15,13.02,Online
ORD-100104,2024-11-04,2024-11-10,20241104,442,27,11,66.44,11.71,1,0.05,10.19,Debit Card
ORD-100105,2024-02-02,2024-02-07,20240202,529,23,8,6.08,-0.92,1,0.0,11.3,UPI
ORD-100106,2024-11-08,2024-11-09,20241108,837,4,17,152.39,26.06,1,0.25,12.61,Debit Card
ORD-100107,2024-11-22,2024-11-27,20241122,157,9,29,1136.47,120.98,1,0.15,43.99,UPI
ORD-100108,2024-05-11,2024-05-13,20240511,609,9,9,5420.77,962.98,4,0.0,36.46,Credit Card
ORD-100109,2022-11-02,2022-11-06,20221102,424,26,26,10.92,0.06,1,0.15,10.75,Credit Card
ORD-100110,2024-06-18,2024-06-21,20240618,283,21,29,15.5,1.72,1,0.0,12.79,Debit Card
ORD-100111,2023-12-17,2023-12-20,20231217,595,30,37,242.48,49.71,1,0.15,17.32,Credit Card
ORD-100112,2022-11-17,2022-11-21,20221117,137,12,4,359.43,-15.98,1,0.25,25.85,Debit Card
ORD-100113,2023-01-06,2023-01-09,20230106,248,32,2,41.67,12.21,1,0.0,12.75,Cash
ORD-100114,2024-03-12,2024-03-15,20240312,616,29,36,726.25,165.38,1,0.0,25.49,UPI
ORD-100115,2024-08-12,2024-08-16,20240812,261,31,28,1289.23,210.7,5,0.1,24.19,Online
ORD-100116,2024-09-26,2024-10-01,20240926,826,21,18,26.73,5.02,2,0.05,14.69,Credit Card
ORD-100117,2024-09-15,2024-09-21,20240915,5,3,20,1333.52,318.69,1,0.0,41.97,Credit Card
ORD-100118,2024-05-04,2024-05-10,20240504,417,32,5,25.81,-2.85,1,0.3,9.76,Credit Card
ORD-100119,2022-10-18,2022-10-22,20221018,723,26,24,36.07,-2.19,4,0.25,22.09,Online
ORD-100120,2022-08-18,2022-08-20,20220818,105,10,21,31.78,8.8,1,0.0,12.99,Credit Card
ORD-100121,2024-11-30,2024-12-04,20241130,126,12,25,1311.44,253.68,3,0.0,24.6,Debit Card
ORD-100122,2023-11-16,2023-11-18,20231116,795,32,9,75.44,23.94,2,0.05,13.52,Debit Card
ORD-100123,2024-04-28,2024-05-01,20240428,675,21,10,45.45,12.74,3,0.0,15.55,Credit Card
ORD-100124,2023-07-20,2023-07-26,20230720,270,8,27,243.46,57.43,2,0.0,16.78,Online
ORD-100125,2024-02-12,2024-02-15,20240212,283,4,1,490.68,120.51,3,0.1,20.18,Credit Card
ORD-100126,2024-10-06,2024-10-10,20241006,675,26,32,20.3,2.42,2,0.2,12.22,Debit Card
ORD-100127,2022-02-18,2022-02-22,20220218,4,17,37,125.1,23.41,1,0.15,11.76,UPI
ORD-100128,2023-10-11,2023-10-15,20231011,352,12,28,1281.64,195.65,3,0.1,26.9,Online
ORD-100129,2023-11-01,2023-11-02,20231101,18,23,9,4.43,-1.8,1,0.25,10.2,Online
ORD-100130,2024-10-02,2024-10-04,20241002,630,32,28,154.11,56.13,4,0.0,15.75,Credit Card
ORD-100131,2023-08-26,2023-08-28,20230826,564,25,10,70.0,19.2,2,0.0,17.14,Credit Card
ORD-100132,2023-08-02,2023-08-08,20230802,78,13,22,84.93,20.73,1,0.1,15.99,UPI
ORD-100133,2022-12-28,2023-01-01,20221228,207,32,27,36.67,9.11,1,0.05,13.78,Credit Card
ORD-100134,2022-03-30,2022-04-02,20220330,542,25,31,29.99,5.84,1,0.15,9.01,Credit Card
ORD-100135,2023-02-28,2023-03-04,20230228,796,17,17,143.95,32.92,1,0.05,12.88,Cash
ORD-100136,2024-09-16,2024-09-21,20240916,45,7,30,848.18,271.49,2,0.05,24.03,Debit Card
ORD-100137,2022-02-23,2022-02-25,20220223,531,10,32,212.83,67.62,8,0.15,25.7,Online
ORD-100138,2022-11-24,2022-11-28,20221124,496,15,4,61.38,11.96,1,0.2,9.67,Debit Card
ORD-100139,2023-12-21,2023-12-24,20231221,9,24,11,10.53,-0.01,1,0.0,13.27,UPI
ORD-100140,2022-12-28,2022-12-30,20221228,214,24,31,19.7,3.86,2,0.05,12.6,Credit Card
ORD-100141,2024-06-03,2024-06-08,20240603,117,7,26,1306.01,395.97,3,0.1,25.42,UPI
ORD-100142,2024-08-14,2024-08-19,20240814,171,16,25,1459.17,225.36,4,0.15,23.16,Credit Card
ORD-100143,2022-01-06,2022-01-08,20220106,418,13,29,70.91,16.66,1,0.15,11.14,Online
ORD-100144,2024-08-01,2024-08-03,20240801,472,19,11,19.95,0.14,3,0.25,19.56,Online
ORD-100145,2022-04-24,2022-04-28,20220424,614,15,40,81.02,22.27,1,0.0,12.76,Cash
ORD-100146,2022-01-15,2022-01-18,20220115,382,29,10,625.89,102.98,1,0.15,27.65,Credit Card
ORD-100147,2024-10-09,2024-10-16,20241009,627,11,29,230.8,71.95,5,0.1,18.63,Credit Card
ORD-100148,2023-07-28,2023-08-03,20230728,809,29,23,1779.87,235.34,3,0.25,39.56,Online
ORD-100149,2024-03-19,2024-03-22,20240319,81,2,13,582.35,178.4,1,0.0,22.73,Credit Card
ORD-100150,2022-12-26,2022-12-30,20221226,367,5,5,150.68,35.08,1,0.0,16.01,Credit Card
ORD-100151,2022-03-09,2022-03-14,20220309,51,2,6,2244.82,707.86,4,0.0,29.95,Credit Card
ORD-100152,2024-01-30,2024-02-02,20240130,499,6,34,844.45,176.39,1,0.0,26.82,Online
ORD-100153,2023-05-11,2023-05-14,20230511,63,21,5,14.87,2.05,1,0.0,11.14,Online
ORD-100154,2023-04-03,2023-04-07,20230403,486,31,15,1676.43,340.01,6,0.0,34.41,Credit Card
ORD-100155,2022-10-16,2022-10-18,20221016,233,14,1,25.81,8.66,1,0.0,12.14,Credit Card
ORD-100156,2024-04-02,2024-04-06,20240402,450,5,27,169.12,41.41,1,0.0,12.14,Online
ORD-100157,2024-07-20,2024-07-24,20240720,766,26,25,9.67,-0.43,1,0.25,10.74,Online
ORD-100158,2024-04-08,2024-04-09,20240408,141,27,20,378.13,76.11,6,0.05,31.04,Online
ORD-100159,2023-12-31,2024-01-04,20231231,436,16,31,2011.0,433.95,5,0.0,24.19,Credit Card
ORD-100160,2022-09-02,2022-09-06,20220902,653,17,23,149.19,34.68,1,0.05,11.74,Credit Card
ORD-100161,2024-09-19,2024-09-26,20240919,344,18,7,106.58,21.43,1,0.15,11.85,Credit Card
ORD-100162,2024-03-29,2024-03-31,20240329,422,23,18,5.01,-2.04,1,0.15,12.14,UPI
ORD-100163,2024-02-08,2024-02-12,20240208,636,9,6,1212.55,204.97,1,0.0,37.98,Online
ORD-100164,2023-11-07,2023-11-14,20231107,317,18,37,204.35,39.4,2,0.2,15.89,Credit Card
ORD-100165,2024-04-28,2024-05-05,20240428,194,18,34,1022.13,293.65,8,0.0,37.11,Credit Card
ORD-100166,2023-03-08,2023-03-14,20230308,361,28,22,19.68,1.52,2,0.15,13.64,Credit Card
ORD-100167,2023-04-04,2023-04-08,20230404,113,23,18,5.76,-1.74,1,0.05,12.86,Debit Card
ORD-100168,2022-06-03,2022-06-07,20220603,808,30,28,735.29,190.27,3,0.05,23.59,Credit Card
ORD-100169,2022-10-17,2022-10-21,20221017,92,8,25,93.04,-11.86,1,0.25,11.6,Credit Card
ORD-100170,2022-07-08,2022-07-12,20220708,630,21,11,43.54,11.44,3,0.05,14.59,Credit Card
ORD-100171,2023-07-04,2023-07-09,20230704,165,17,28,295.76,76.81,2,0.0,17.16,Credit Card
ORD-100172,2024-02-11,2024-02-14,20240211,442,22,38,50.13,15.51,4,0.0,15.85,Credit Card
ORD-100173,2024-08-01,2024-08-03,20240801,187,2,36,3179.33,1005.03,5,0.0,35.31,Cash
ORD-100174,2023-12-17,2023-12-19,20231217,207,5,23,670.15,116.52,5,0.2,30.88,Online
ORD-100175,2022-05-21,2022-05-23,20220521,662,14,8,21.98,5.99,1,0.1,11.78,Debit Card
ORD-100176,2023-11-16,2023-11-18,20231116,387,19,6,8.54,-0.04,1,0.05,10.62,Credit Card
ORD-100177,2022-09-12,2022-09-14,20220912,264,13,22,69.91,14.98,1,0.2,11.14,Online
ORD-100178,2022-06-18,2022-06-22,20220618,216,4,36,188.53,48.59,1,0.05,12.0,UPI
ORD-100179,2024-05-22,2024-05-25,20240522,418,18,38,102.47,19.24,1,0.15,15.28,UPI
ORD-100180,2024-04-27,2024-05-02,20240427,471,6,29,1837.64,357.91,2,0.05,27.49,Cash
ORD-100181,2022-10-14,2022-10-21,20221014,842,28,29,10.82,-0.86,1,0.1,12.98,Online
ORD-100182,2024-08-02,2024-08-06,20240802,258,31,40,499.96,76.56,2,0.1,24.09,Credit Card
ORD-100183,2024-09-12,2024-09-18,20240912,63,5,37,337.72,84.31,2,0.0,19.63,Credit Card
ORD-100184,2023-01-20,2023-01-23,20230120,25,30,15,588.29,162.52,2,0.0,23.09,Credit Card
ORD-100185,2023-09-08,2023-09-13,20230908,550,27,8,113.64,13.25,2,0.2,17.35,Online
ORD-100186,2024-09-06,2024-09-09,20240906,381,20,12,19.72,4.62,3,0.05,12.73,Online
ORD-100187,2024-06-21,2024-06-25,20240621,228,17,24,152.69,34.51,1,0.05,14.84,Debit Card
ORD-100188,2022-02-28,2022-03-04,20220228,793,15,13,228.0,67.53,3,0.0,22.02,Online
ORD-100189,2024-07-29,2024-07-31,20240729,103,18,33,599.2,172.11,5,0.0,21.86,Debit Card
ORD-100190,2022-04-04,2022-04-07,20220404,203,6,11,1890.14,-167.5,3,0.25,29.6,Credit Card
ORD-100191,2024-09-23,2024-09-29,20240923,644,21,22,71.97,19.35,5,0.1,18.75,Credit Card
ORD-100192,2022-06-05,2022-06-09,20220605,96,6,30,5023.1,885.82,6,0.1,52.4,Online
ORD-100193,2023-02-13,2023-02-17,20230213,813,4,14,350.79,93.48,2,0.05,13.54,Debit Card
ORD-100194,2024-12-11,2024-12-16,20241211,417,19,22,7.98,-1.46,1,0.15,13.07,Online
ORD-100195,2022-05-25,2022-05-27,20220525,4,18,37,579.74,142.76,5,0.1,22.77,UPI
ORD-100196,2023-10-19,2023-10-24,20231019,585,6,35,1767.96,379.82,2,0.0,26.09,Credit Card
ORD-100197,2022-02-16,2022-02-20,20220216,639,13,36,161.04,48.62,2,0.05,12.91,UPI
ORD-100198,2023-02-27,2023-03-02,20230227,520,31,16,625.92,122.81,2,0.0,24.66,Cash
ORD-100199,2024-07-15,2024-07-18,20240715,232,12,30,1276.78,244.56,3,0.0,30.84,Online
ORD-100200,2024-01-01,2024-01-03,20240101,696,24,11,34.16,4.69,4,0.2,21.74,Credit Card
ORD-100201,2022-11-26,2022-11-30,20221126,762,11,28,189.57,49.71,5,0.2,20.45,Online
ORD-100202,2023-09-16,2023-09-23,20230916,522,6,40,845.4,174.82,1,0.0,31.91,UPI
ORD-100203,2023-02-01,2023-02-04,20230201,708,7,33,3849.88,1334.34,8,0.0,37.47,UPI
ORD-100204,2023-12-06,2023-12-10,20231206,465,26,4,11.09,0.41,1,0.0,11.81,Online
ORD-100205,2023-02-07,2023-02-12,20230207,503,16,25,1715.39,368.92,4,0.0,24.2,Debit Card
ORD-100206,2024-05-22,2024-05-26,20240522,765,7,11,432.33,127.9,1,0.1,17.5,Online
ORD-100207,2024-03-07,2024-03-11,20240307,835,26,15,10.91,-0.59,1,0.05,13.85,Credit Card
ORD-100208,2024-01-21,2024-01-27,20240121,303,11,12,270.67,79.5,6,0.15,20.32,Online
ORD-100209,2024-10-19,2024-10-23,20241019,154,19,34,6.43,-2.53,1,0.3,13.28,Credit Card
ORD-100210,2024-10-26,2024-11-02,20241026,87,22,34,22.45,4.66,2,0.1,11.05,Credit Card
ORD-100211,2023-11-02,2023-11-05,20231102,127,17,29,279.78,66.23,2,0.05,18.6,UPI
ORD-100212,2023-03-04,2023-03-10,20230304,430,8,22,655.44,148.79,5,0.05,24.34,Credit Card
ORD-100213,2024-12-06,2024-12-07,20241206,802,18,1,224.68,61.86,2,0.0,15.85,Online
ORD-100214,2023-10-31,2023-11-06,20231031,458,11,14,145.91,45.91,3,0.05,18.9,Credit Card
ORD-100215,2024-04-01,2024-04-02,20240401,739,17,27,237.59,45.51,2,0.15,19.32,Credit Card
ORD-100216,2024-07-17,2024-07-20,20240717,46,8,2,201.95,29.42,2,0.2,19.81,Credit Card
ORD-100217,2023-12-06,2023-12-07,20231206,146,13,1,237.99,62.49,3,0.15,18.64,Online
ORD-100218,2023-07-18,2023-07-22,20230718,612,7,12,839.54,285.62,2,0.0,23.47,Cash
ORD-100219,2022-07-01,2022-07-04,20220701,305,1,18,224.37,49.43,1,0.1,12.63,UPI
ORD-100220,2024-07-23,2024-07-24,20240723,227,22,17,110.64,27.56,10,0.1,41.39,Credit Card
ORD-100221,2024-11-07,2024-11-10,20241107,743,29,24,1402.44,298.07,2,0.05,29.9,Online
ORD-100222,2024-03-09,2024-03-14,20240309,130,14,31,213.78,80.81,10,0.15,37.87,Credit Card
ORD-100223,2024-04-23,2024-04-27,20240423,269,23,30,33.62,8.75,6,0.0,23.03,Debit Card
ORD-100224,2023-10-06,2023-10-07,20231006,716,13,13,179.72,58.62,2,0.0,12.24,Credit Card
ORD-100225,2024-12-07,2024-12-12,20241207,442,24,22,8.88,0.35,1,0.05,9.66,Cash
ORD-100226,2023-02-26,2023-02-28,20230226,689,26,6,61.3,16.37,5,0.05,21.52,Credit Card
ORD-100227,2022-08-23,2022-08-27,20220823,271,30,33,262.55,59.72,1,0.1,16.91,Online
ORD-100228,2023-08-26,2023-08-30,20230826,603,22,8,11.25,0.06,1,0.1,12.05,Debit Card
ORD-100229,2023-11-30,2023-12-03,20231130,666,13,29,264.85,87.3,3,0.0,15.42,Credit Card
ORD-100230,2023-07-28,2023-08-03,20230728,337,16,1,335.88,47.74,1,0.15,17.15,Online
ORD-100231,2023-05-05,2023-05-09,20230505,348,3,16,6561.77,1626.12,5,0.0,40.93,Online
ORD-100232,2023-09-26,2023-09-30,20230926,223,17,15,133.3,29.38,1,0.05,15.09,Online
ORD-100233,2024-09-11,2024-09-12,20240911,848,2,3,2244.87,661.17,4,0.05,35.13,Credit Card
ORD-100234,2024-12-27,2024-12-30,20241227,463,22,35,13.04,0.65,1,0.0,13.8,Online
ORD-100235,2023-12-02,2023-12-06,20231202,390,9,36,1314.11,224.72,1,0.0,33.76,Credit Card
ORD-100236,2024-12-04,2024-12-08,20241204,825,13,14,90.33,26.26,1,0.05,10.14,Debit Card
ORD-100237,2023-09-13,2023-09-20,20230913,579,13,22,90.23,26.9,1,0.0,13.36,UPI
ORD-100238,2024-06-16,2024-06-18,20240616,314,9,27,1103.15,138.82,1,0.1,44.63,Debit Card
ORD-100239,2022-09-26,2022-09-28,20220926,69,1,5,267.95,70.12,1,0.0,14.01,Credit Card
ORD-100240,2024-03-12,2024-03-15,20240312,345,4,12,153.55,32.8,1,0.15,11.59,Credit Card
ORD-100241,2023-12-28,2023-12-31,20231228,464,30,37,252.41,61.44,1,0.05,19.16,Credit Card
ORD-100242,2024-10-27,2024-11-02,20241027,546,13,25,274.08,90.11,3,0.0,16.63,Online
ORD-100243,2023-02-03,2023-02-06,20230203,90,23,6,12.57,2.41,2,0.0,11.07,Debit Card
ORD-100244,2023-06-13,2023-06-18,20230613,578,2,39,2566.95,653.4,5,0.15,40.02,Debit Card
ORD-100245,2022-10-09,2022-10-11,20221009,428,31,13,606.02,109.68,2,0.05,15.62,Online
ORD-100246,2022-10-30,2022-11-03,20221030,743,17,11,433.46,104.97,3,0.05,22.08,Credit Card
ORD-100247,2022-01-12,2022-01-19,20220112,468,16,32,1355.88,234.38,4,0.1,27.66,Debit Card
ORD-100248,2022-06-03,2022-06-05,20220603,292,14,11,26.85,10.14,1,0.0,9.38,Credit Card
ORD-100249,2023-10-05,2023-10-08,20231005,83,3,15,949.97,107.78,1,0.3,44.9,Online
ORD-100250,2023-04-09,2023-04-11,20230409,308,31,26,602.45,108.15,2,0.05,18.03,Cash
ORD-100251,2024-12-12,2024-12-14,20241212,42,12,9,1430.6,163.32,4,0.2,23.87,Debit Card
ORD-100252,2024-08-28,2024-09-02,20240828,803,15,14,81.5,22.05,1,0.0,13.83,Debit Card
ORD-100253,2024-01-29,2024-01-31,20240129,717,12,14,441.51,79.92,1,0.0,23.96,Online
ORD-100254,2024-12-09,2024-12-12,20241209,616,30,5,890.17,252.07,3,0.0,17.36,Online
ORD-100255,2022-06-01,2022-06-06,20220601,102,1,4,411.59,84.68,2,0.15,16.77,Debit Card
